group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,zh,/tld/chat,.chat,2488,814,1269,44,36,0.182,3,3,0.218,0.158,/tld/plus,0.338,0.358,0.417,
tld,en,/tld/cheap,.cheap,2265,593,3204,48,38,0.208,3,3,0.178,0.117,/tld/diamonds,0.251,0.283,0.395,
tld,zh,/tld/cheap,.cheap,2600,916,1466,47,38,0.191,3,3,0.234,0.16,/tld/cruises,0.31,0.357,0.421,
tld,en,/tld/church,.church,2253,585,3280,45,36,0.2,3,3,0.193,0.11,/tld/degree,0.261,0.289,0.389,
tld,zh,/tld/church,.church,2678,1004,1481,44,36,0.182,3,3,0.23,0.149,/tld/florist,0.309,0.334,0.417,
tld,en,/tld/city,.city,2242,553,3031,48,38,0.208,3,3,0.179,0.117,/tld/space,0.266,0.285,0.395,
tld,zh,/tld/city,.city,2655,956,1317,47,38,0.191,3,3,0.217,0.167,/tld/properties,0.304,0.341,0.421,
tld,en,/tld/cl,.cl,2323,649,3580,47,37,0.213,3,3,0.311,0.237,/tld/vn,0.228,0.307,0.378,
tld,zh,/tld/cl,.cl,2776,1096,1418,48,38,0.208,3,3,0.45,0.327,/tld/ar,0.262,0.444,0.395,
tld,en,/tld/cleaning,.cleaning,2261,593,3352,45,36,0.2,3,3,0.185,0.108,/tld/catering,0.254,0.257,0.389,
tld,zh,/tld/cleaning,.cleaning,2654,980,1584,40,34,0.15,3,3,0.287,0.22,/tld/catering,0.304,0.331,0.441,
tld,en,/tld/click,.click,2183,515,2758,43,35,0.186,3,3,0.185,0.111,/tld/us,0.274,0.29,0.4,
tld,zh,/tld/click,.click,2506,832,1297,40,34,0.15,3,3,0.22,0.169,/tld/fashion,0.331,0.345,0.441,
tld,en,/tld/clinic,.clinic,2237,557,3174,50,39,0.22,3,3,0.219,0.129,/tld/care,0.266,0.307,0.385,
tld,zh,/tld/clinic,.clinic,2682,990,1499,47,38,0.191,3,3,0.25,0.176,/tld/care,0.309,0.354,0.421,
tld,en,/tld/clothing,.clothing,2275,605,3420,46,37,0.196,3,3,0.25,0.145,/tld/singles,0.251,0.297,0.405,
tld,zh,/tld/clothing,.clothing,2654,976,1665,45,37,0.178,3,3,0.343,0.22,/tld/singles,0.316,0.384,0.432,
tld,en,/tld/cloud,.cloud,2138,461,2491,39,33,0.154,3,3,0.195,0.119,/tld/us,0.31,0.318,0.424,
tld,zh,/tld/cloud,.cloud,2435,752,1080,40,34,0.15,3,3,0.221,0.166,/tld/vip,0.353,0.361,0.441,
tld,en,/tld/club,.club,2157,469,2521,42,35,0.167,3,3,0.195,0.133,/tld/design,0.3,0.314,0.429,
tld,zh,/tld/club,.club,2470,768,1045,43,36,0.163,3,3,0.248,0.176,/tld/vip,0.351,0.371,0.444,
tld,en,/tld/cn,.cn,2149,467,2576,38,33,0.132,3,3,0.193,0.123,/tld/space,0.294,0.314,0.455,
tld,zh,/tld/cn,.cn,2545,850,1060,41,35,0.146,3,3,0.226,0.168,/tld/com,0.33,0.349,0.457,
tld,en,/tld/co,.co,2154,467,2425,44,36,0.182,3,3,0.182,0.122,/tld/space,0.288,0.302,0.389,
tld,zh,/tld/co,.co,2485,784,1081,39,34,0.128,3,3,0.222,0.165,/tld/vip,0.316,0.339,0.471,
tld,en,/tld/coach,.coach,2243,557,3027,48,38,0.208,3,3,0.176,0.115,/tld/fun,0.263,0.281,0.395,
tld,zh,/tld/coach,.coach,2621,920,1362,47,38,0.191,3,3,0.223,0.165,/tld/fitness,0.304,0.337,0.421,
tld,en,/tld/codes,.codes,2229,559,3158,46,37,0.196,3,3,0.174,0.113,/tld/space,0.255,0.27,0.405,
tld,zh,/tld/codes,.codes,2618,940,1346,45,37,0.178,3,3,0.214,0.155,/tld/zone,0.302,0.315,0.432,
tld,en,/tld/coffee,.coffee,2263,595,3105,55,41,0.255,3,3,0.199,0.118,/tld/events,0.257,0.293,0.341,
tld,zh,/tld/coffee,.coffee,2642,968,1461,46,37,0.196,3,3,0.256,0.176,/tld/photography,0.316,0.363,0.405,
