path,lang,bodyWords,proseWords,linkShare
/vs/horse-vs-pet,en,752,593,0.2114
/vs/horse-vs-pet,zh,1115,904,0.1892
/vs/hospital-vs-clinic,en,806,652,0.1911
/vs/hospital-vs-clinic,zh,1300,1096,0.1569
/vs/host-vs-cloud,en,626,478,0.2364
/vs/host-vs-cloud,zh,950,758,0.2021
/vs/house-vs-estate,en,739,572,0.2260
/vs/house-vs-estate,zh,1117,901,0.1934
/vs/house-vs-style,en,709,548,0.2271
/vs/house-vs-style,zh,1068,859,0.1957
/vs/hu-vs-cz,en,764,614,0.1963
/vs/hu-vs-cz,zh,1181,983,0.1677
/vs/icu-vs-xyz,en,602,467,0.2243
/vs/icu-vs-xyz,zh,927,747,0.1942
/vs/id-vs-me,en,813,649,0.2017
/vs/id-vs-me,zh,1195,979,0.1808
/vs/id-vs-sg,en,785,624,0.2051
/vs/id-vs-sg,zh,1195,988,0.1732
/vs/ie-vs-uk,en,751,602,0.1984
/vs/ie-vs-uk,zh,1147,952,0.1700
/vs/il-vs-com,en,742,576,0.2237
/vs/il-vs-com,zh,1158,941,0.1874
/vs/immo-vs-estate,en,788,650,0.1751
/vs/immo-vs-estate,zh,1262,1077,0.1466
/vs/immobilien-vs-immo,en,846,701,0.1714
/vs/immobilien-vs-immo,zh,1301,1112,0.1453
/vs/in-vs-com,en,804,639,0.2052
/vs/in-vs-com,zh,1205,991,0.1776
/vs/info-vs-com,en,678,530,0.2183
/vs/info-vs-com,zh,1023,823,0.1955
/vs/info-vs-net,en,597,452,0.2429
/vs/info-vs-net,zh,946,753,0.2040
/vs/info-vs-org,en,827,682,0.1753
/vs/info-vs-org,zh,1211,1013,0.1635
/vs/ink-vs-art,en,623,475,0.2376
/vs/ink-vs-art,zh,1040,840,0.1923
/vs/institute-vs-international,en,731,587,0.1970
/vs/institute-vs-international,zh,1140,950,0.1667
/vs/investments-vs-fund,en,674,550,0.1840
/vs/investments-vs-fund,zh,1051,883,0.1598
/vs/io-vs-ai,en,799,636,0.2040
/vs/io-vs-ai,zh,1209,996,0.1762
/vs/io-vs-co,en,884,719,0.1867
/vs/io-vs-co,zh,1335,1118,0.1625
/vs/io-vs-dev,en,885,722,0.1842
/vs/io-vs-dev,zh,1299,1086,0.1640
/vs/io-vs-sh,en,676,513,0.2411
/vs/io-vs-sh,zh,1044,829,0.2059
/vs/io-vs-tech,en,826,663,0.1973
/vs/io-vs-tech,zh,1256,1042,0.1704
/vs/is-vs-fi,en,735,585,0.2041
/vs/is-vs-fi,zh,1151,953,0.1720
/vs/it-vs-de,en,763,605,0.2071
/vs/it-vs-de,zh,1179,975,0.1730
/vs/jewelry-vs-boutique,en,760,599,0.2118
/vs/jewelry-vs-boutique,zh,1170,959,0.1803
/vs/jp-vs-cn,en,761,600,0.2116
/vs/jp-vs-cn,zh,1244,1028,0.1736
/vs/kaufen-vs-shop,en,857,691,0.1937
/vs/kaufen-vs-shop,zh,1301,1085,0.1660
/vs/ke-vs-ng,en,721,571,0.2080
/vs/ke-vs-ng,zh,1105,907,0.1792
/vs/kids-vs-baby,en,839,682,0.1871
/vs/kids-vs-baby,zh,1327,1120,0.1560
/vs/kids-vs-family,en,810,651,0.1963
/vs/kids-vs-family,zh,1294,1084,0.1623
/vs/kitchen-vs-restaurant,en,692,523,0.2442
/vs/kitchen-vs-restaurant,zh,1039,821,0.2098
/vs/kr-vs-jp,en,703,556,0.2091
/vs/kr-vs-jp,zh,1121,926,0.1740
/vs/kz-vs-tr,en,748,595,0.2045
/vs/kz-vs-tr,zh,1176,975,0.1709
/vs/land-vs-com,en,798,632,0.2080
/vs/land-vs-com,zh,1240,1023,0.1750
/vs/law-vs-expert,en,768,601,0.2174
/vs/law-vs-expert,zh,1167,948,0.1877
/vs/law-vs-pro,en,700,536,0.2343
/vs/law-vs-pro,zh,1096,876,0.2007
/vs/lawyer-vs-legal,en,735,584,0.2054
/vs/lawyer-vs-legal,zh,1144,949,0.1705
/vs/legal-vs-law,en,767,611,0.2034
/vs/legal-vs-law,zh,1179,973,0.1747
/vs/life-vs-live,en,833,665,0.2017
/vs/life-vs-live,zh,1314,1095,0.1667
/vs/life-vs-me,en,934,767,0.1788
/vs/life-vs-me,zh,1391,1173,0.1567
/vs/lighting-vs-garden,en,779,621,0.2028
/vs/lighting-vs-garden,zh,1229,1017,0.1725
/vs/lighting-vs-solar,en,769,619,0.1951
/vs/lighting-vs-solar,zh,1214,1016,0.1631
/vs/limited-vs-ltd,en,738,582,0.2114
/vs/limited-vs-ltd,zh,1154,948,0.1785
/vs/limo-vs-taxi,en,765,618,0.1922
/vs/limo-vs-taxi,zh,1174,981,0.1644
/vs/link-vs-cc,en,762,609,0.2008
/vs/link-vs-cc,zh,1114,914,0.1795
/vs/live-vs-online,en,757,589,0.2219
/vs/live-vs-online,zh,1096,877,0.1998
/vs/live-vs-tv,en,792,655,0.1730
/vs/live-vs-tv,zh,1188,1001,0.1574
/vs/lk-vs-my,en,766,620,0.1906
/vs/lk-vs-my,zh,1144,952,0.1678
/vs/loans-vs-money,en,643,519,0.1928
/vs/loans-vs-money,zh,1028,860,0.1634
/vs/lol-vs-gg,en,691,528,0.2359
/vs/lol-vs-gg,zh,987,773,0.2168
/vs/london-vs-uk,en,780,689,0.1167
/vs/london-vs-uk,zh,1271,1136,0.1062
/vs/love-vs-me,en,766,598,0.2193
/vs/love-vs-me,zh,1100,881,0.1991
/vs/lt-vs-ee,en,756,606,0.1984
/vs/lt-vs-ee,zh,1189,991,0.1665
/vs/lt-vs-lv,en,779,632,0.1887
/vs/lt-vs-lv,zh,1221,1026,0.1597
/vs/ltd-vs-co,en,678,510,0.2478
/vs/ltd-vs-co,zh,1076,854,0.2063
/vs/ltd-vs-llc,en,661,507,0.2330
/vs/ltd-vs-llc,zh,1037,835,0.1948
/vs/luxury-vs-vip,en,806,636,0.2109
/vs/luxury-vs-vip,zh,1235,1014,0.1789
/vs/ma-vs-eg,en,804,657,0.1828
/vs/ma-vs-eg,zh,1228,1033,0.1588
/vs/makeup-vs-boutique,en,739,579,0.2165
/vs/makeup-vs-boutique,zh,1170,955,0.1838
/vs/management-vs-consulting,en,720,573,0.2042
/vs/management-vs-consulting,zh,1161,968,0.1662
/vs/market-vs-exchange,en,677,525,0.2245
/vs/market-vs-exchange,zh,1058,857,0.1900
/vs/marketing-vs-agency,en,659,506,0.2322
/vs/marketing-vs-agency,zh,1019,820,0.1953
/vs/mba-vs-school,en,754,603,0.2003
/vs/mba-vs-school,zh,1137,936,0.1768
/vs/me-vs-io,en,887,721,0.1871
/vs/me-vs-io,zh,1260,1041,0.1738
/vs/media-vs-studio,en,840,671,0.2012
/vs/media-vs-studio,zh,1293,1074,0.1694
/vs/media-vs-tv,en,630,492,0.2190
/vs/media-vs-tv,zh,982,794,0.1914
/vs/meme-vs-fun,en,789,623,0.2104
/vs/meme-vs-fun,zh,1258,1040,0.1733
/vs/meme-vs-lol,en,760,627,0.1750
/vs/meme-vs-lol,zh,1168,991,0.1515
/vs/menu-vs-cafe,en,781,610,0.2190
/vs/menu-vs-cafe,zh,1163,942,0.1900
/vs/menu-vs-restaurant,en,707,537,0.2405
/vs/menu-vs-restaurant,zh,1063,843,0.2070
/vs/miami-vs-nyc,en,828,743,0.1027
/vs/miami-vs-nyc,zh,1349,1220,0.0956
/vs/mobi-vs-app,en,883,721,0.1835
/vs/mobi-vs-app,zh,1331,1119,0.1593
/vs/moda-vs-fashion,en,778,642,0.1748
/vs/moda-vs-fashion,zh,1230,1047,0.1488
/vs/moe-vs-fun,en,674,508,0.2463
/vs/moe-vs-fun,zh,1034,816,0.2108
/vs/mom-vs-me,en,716,552,0.2291
